76
61	0.7
8	0.7
99	0.7
14	0.7
17	0.6
0	0.6
53	0.2
55	0.2
117	0.2
72	0.2
77	0.2
81	0.2
95	0.2
100	0.2
38	0.2
44	0.2
47	0.2
49	0.2
119	0.2
181	0.7
128	0.7
219	0.7
134	0.7
137	0.6
120	0.6
173	0.2
175	0.2
237	0.2
192	0.2
197	0.2
201	0.2
215	0.2
220	0.2
158	0.2
164	0.2
167	0.2
169	0.2
239	0.2
301	0.7
248	0.7
339	0.7
254	0.7
257	0.6
240	0.6
293	0.2
295	0.2
357	0.2
312	0.2
317	0.2
321	0.2
335	0.2
340	0.2
278	0.2
284	0.2
287	0.2
289	0.2
359	0.2
421	0.7
368	0.7
459	0.7
374	0.7
377	0.6
360	0.6
413	0.2
415	0.2
477	0.2
432	0.2
437	0.2
441	0.2
455	0.2
460	0.2
398	0.2
404	0.2
407	0.2
409	0.2
479	0.2
