2.397382	1.487592	0.417539
2.368312	0.792199	0.414552
2.404938	2.334875	0.417688
2.408864	2.601136	0.404545
2.452162	1.733784	0.398378
2.472830	1.032642	0.402264
2.468872	3.203534	0.411805
2.490606	0.355152	0.398030
2.500741	2.847513	0.410899
2.501491	3.461930	0.407456
2.500772	4.533719	0.422211
2.531121	0.099776	0.408834
2.558878	2.130816	0.400204
2.620484	3.703871	0.402419
2.614297	4.973498	0.416388
2.644836	0.817089	0.406291
2.635581	1.892093	0.398605
2.677556	1.652444	0.397556
2.669632	3.966691	0.414338
2.683929	4.230982	0.409732
2.728095	3.262286	0.423016
2.753871	2.333710	0.405806
2.750204	2.847755	0.402449
2.777037	1.429630	0.408025
2.798280	1.170376	0.417204
2.312500	1.244167	0.411111
2.366619	3.733986	0.428577
2.363713	4.770099	0.427030
2.408919	3.997405	0.428757
2.491375	6.236543	0.430558
2.589587	5.468347	0.425744
2.608462	6.005923	0.420077
2.637723	5.740660	0.427030
2.664545	2.572893	0.415289
2.690426	4.716170	0.410213
2.780526	0.172632	0.401579
2.783232	3.521717	0.414343
2.810497	2.085580	0.424530
2.819956	0.425200	0.421333
2.819569	4.457682	0.438086
2.875584	0.925455	0.419610
2.877581	1.836613	0.423629
2.265437	0.469612	0.424563
2.259412	3.500980	0.424902
2.288827	0.202793	0.432346
2.302544	3.008402	0.430059
2.356620	5.347183	0.421549
2.368495	5.600430	0.424516
2.375093	5.864472	0.428385
2.432959	4.265867	0.430612
2.563371	1.290400	0.426457
2.602632	0.558421	0.415789
2.740566	6.211321	0.420189
2.829774	5.125338	0.431955
2.838870	5.382435	0.429739
2.865577	3.788462	0.439872
2.847897	5.915187	0.440374
2.898192	3.055346	0.439769
2.216304	1.783152	0.435652
2.221633	2.760476	0.439932
2.223838	3.253838	0.437576
2.250484	4.436290	0.429677
2.258552	6.356552	0.438069
2.916866	4.065791	0.447194
2.928049	2.513049	0.436402
2.940404	4.720594	0.456318
